observation_date,CSUSHPINSA
1987-01-01,63.732999999999997
1987-02-01,64.132000000000005
1987-03-01,64.468000000000004
1987-04-01,64.971999999999994
1987-05-01,65.546000000000006
1987-06-01,66.218000000000004
1987-07-01,66.786000000000001
1987-08-01,67.269999999999996
1987-09-01,67.623000000000005
1987-10-01,67.901000000000010
1987-11-01,68.091000000000008
1987-12-01,68.341999999999999
1988-01-01,68.579999999999998
1988-02-01,68.912999999999997
1988-03-01,69.322000000000003
1988-04-01,69.786999999999992
1988-05-01,70.408000000000001
1988-06-01,71.066999999999993
1988-07-01,71.685000000000002
1988-08-01,72.185000000000002
1988-09-01,72.573999999999998
1988-10-01,72.822000000000003
1988-11-01,73.063999999999993
1988-12-01,73.277000000000001
1989-01-01,73.616000000000000
1989-02-01,73.966999999999999
1989-03-01,74.409999999999997
1989-04-01,74.867000000000004
1989-05-01,75.295000000000002
1989-06-01,75.694999999999993
1989-07-01,76.040000000000006
1989-08-01,76.271000000000001
1989-09-01,76.420000000000002
1989-10-01,76.486999999999995
1989-11-01,76.521000000000001
1989-12-01,76.497000000000000
1990-01-01,76.527000000000001
1990-02-01,76.587000000000003
1990-03-01,76.790000000000006
1990-04-01,77.037999999999997
1990-05-01,77.296000000000006
1990-06-01,77.503999999999991
1990-07-01,77.560000000000002
1990-08-01,77.478000000000023
1990-09-01,77.228000000000023
1990-10-01,76.911999999999978
1990-11-01,76.381000000000000
1990-12-01,75.971000000000004
1991-01-01,75.533000000000001
1991-02-01,75.248999999999995
1991-03-01,75.137000000000000
1991-04-01,75.316000000000003
1991-05-01,75.768000000000001
1991-06-01,76.251999999999995
1991-07-01,76.516999999999996
1991-08-01,76.593999999999994
1991-09-01,76.575000000000003
1991-10-01,76.292000000000002
1991-11-01,76.031000000000006
1991-12-01,75.843999999999994
1992-01-01,75.701000000000022
1992-02-01,75.656000000000006
1992-03-01,75.814999999999998
1992-04-01,76.081000000000003
1992-05-01,76.397999999999996
1992-06-01,76.603000000000023
1992-07-01,76.712000000000003
1992-08-01,76.731999999999999
1992-09-01,76.628999999999991
1992-10-01,76.597999999999999
1992-11-01,76.579999999999998
1992-12-01,76.465000000000003
1993-01-01,76.396000000000001
1993-02-01,76.328999999999994
1993-03-01,76.384000000000000
1993-04-01,76.661000000000001
1993-05-01,77.031000000000006
1993-06-01,77.516999999999996
1993-07-01,77.886000000000010
1993-08-01,78.132000000000005
1993-09-01,78.198999999999998
1993-10-01,78.173000000000002
1993-11-01,78.171000000000006
1993-12-01,78.113999999999990
1994-01-01,78.198999999999998
1994-02-01,78.206000000000003
1994-03-01,78.349999999999994
1994-04-01,78.701000000000022
1994-05-01,79.209000000000003
1994-06-01,79.701000000000022
1994-07-01,80.063000000000002
1994-08-01,80.316999999999993
1994-09-01,80.341000000000022
1994-10-01,80.305000000000007
1994-11-01,80.171000000000006
1994-12-01,80.079999999999998
1995-01-01,80.027000000000001
1995-02-01,79.992000000000004
1995-03-01,80.078000000000003
1995-04-01,80.370000000000005
1995-05-01,80.691000000000003
1995-06-01,81.069000000000003
1995-07-01,81.412999999999997
1995-08-01,81.656000000000006
1995-09-01,81.738999999999990
1995-10-01,81.728000000000023
1995-11-01,81.632000000000005
1995-12-01,81.513999999999996
1996-01-01,81.427999999999997
1996-02-01,81.400000000000006
1996-03-01,81.665999999999997
1996-04-01,82.125000000000000
1996-05-01,82.602000000000004
1996-06-01,83.048999999999978
1996-07-01,83.418999999999997
1996-08-01,83.646000000000001
1996-09-01,83.702999999999989
1996-10-01,83.629999999999995
1996-11-01,83.557000000000002
1996-12-01,83.491000000000000
1997-01-01,83.531000000000006
1997-02-01,83.597000000000023
1997-03-01,83.912000000000006
1997-04-01,84.322000000000003
1997-05-01,84.864999999999995
1997-06-01,85.399000000000001
1997-07-01,85.842000000000013
1997-08-01,86.151000000000010
1997-09-01,86.312000000000012
1997-10-01,86.408999999999978
1997-11-01,86.632999999999996
1997-12-01,86.848999999999990
1998-01-01,87.164000000000001
1998-02-01,87.373999999999995
1998-03-01,87.877999999999986
1998-04-01,88.558999999999997
1998-05-01,89.375000000000000
1998-06-01,90.195999999999998
1998-07-01,90.859999999999999
1998-08-01,91.408000000000001
1998-09-01,91.753000000000000
1998-10-01,92.000000000000000
1998-11-01,92.197999999999993
